crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Tomato,Clay Loam,68,271,16.51,80.91,1.02,0.62,16.74,2.9,37.98,22.54,25.8,3.284,1.123,77.43,0.811,125.22,5,0.389,1,637.87
Tomato,Loam,109,19,10.01,93.24,1.01,0.5,9.26,4.13,30.66,14.68,26.18,1.239,1.15,79.23,1.041,166.35,12,0.358,0,0.0
Apple,Silty Loam,65,257,22.26,46.4,0.44,0.24,21.51,4.33,35.3,13.23,24.83,7.154,0.975,75.35,1.088,240.12,2,0.531,1,302.36
Tomato,Sandy Loam,7,92,20.16,66.09,0.09,0.05,17.04,4.22,23.48,9.24,19.32,4.71,0.6,89.88,1.352,192.52,6,0.403,0,0.0
Grape,Sandy,87,186,41.01,30.09,0.0,0.0,26.04,1.24,18.32,8.73,9.73,9.08,0.85,59.67,0.573,54.95,7,0.475,1,577.42
Tomato,Loam,27,242,26.97,72.89,0.3,0.21,16.11,1.06,30.76,14.16,22.61,4.112,0.6,71.34,0.734,121.84,2,0.372,1,167.71
Apple,Clay Loam,123,240,28.3,41.55,0.04,0.02,17.81,2.47,37.64,21.34,33.09,6.715,1.2,86.84,1.055,171.97,3,0.542,1,165.83
Grape,Sandy,78,138,34.34,45.98,0.12,0.07,23.9,0.98,18.95,7.19,9.14,7.129,0.85,85.85,0.697,81.97,1,0.458,1,79.65
Tomato,Sandy Loam,134,17,12.14,76.81,0.67,0.48,10.37,4.09,22.66,9.81,22.16,2.269,0.814,84.56,1.309,168.21,9,0.423,0,0.0
Potato,Silt Loam,8,9,5.86,75.97,1.41,0.91,8.24,2.8,34.19,12.44,32.13,1.498,0.5,56.63,0.543,118.1,8,0.354,0,0.0
Grape,Sandy Loam,96,170,35.78,39.25,0.16,0.1,20.94,2.55,23.6,10.78,18.4,8.594,0.85,76.65,0.683,87.56,11,0.535,1,509.69
Apple,Loam,158,132,21.65,56.69,0.05,0.04,27.09,2.08,31.59,14.75,22.33,6.614,1.2,64.29,1.724,290.32,9,0.524,1,2234.84
Apple,Loam,22,67,9.29,55.01,1.67,1.33,8.9,2.48,31.69,14.09,29.53,2.414,0.45,60.98,1.271,223.7,13,0.598,0,0.0
Tomato,Loam,55,184,33.27,50.44,0.14,0.09,22.03,0.82,30.43,13.76,29.93,6.314,0.944,74.23,1.445,240.88,11,0.429,1,428.26
Tomato,Sandy Loam,89,264,26.17,69.34,0.69,0.55,17.93,3.43,22.67,10.0,11.0,5.267,1.15,87.48,0.894,113.27,7,0.374,1,834.83
Grape,Loam,116,233,33.53,34.92,0.01,0.01,20.73,2.64,30.31,14.52,23.99,8.617,0.85,58.74,0.92,145.27,6,0.49,1,593.91
Potato,Loam,67,173,24.07,49.95,0.45,0.25,25.14,0.81,29.03,13.05,21.65,6.19,1.15,71.08,0.481,76.86,13,0.373,1,649.23
Potato,Sandy Loam,54,30,9.42,72.67,1.38,0.84,9.44,1.96,22.07,9.84,12.5,1.884,1.128,61.83,0.56,68.49,2,0.37,1,173.35
Grape,Loam,234,142,27.98,47.32,0.45,0.25,22.17,2.98,31.79,14.23,28.8,7.571,0.49,72.23,0.88,154.53,13,0.462,0,0.0
Potato,Sandy Loam,46,115,23.29,59.46,0.91,0.52,20.85,1.08,21.14,9.59,16.6,5.156,0.955,81.07,0.44,50.82,6,0.389,1,147.84
Grape,Sandy,105,211,38.43,45.73,0.0,0.0,22.11,2.08,18.18,8.99,17.68,8.263,0.85,56.78,0.827,76.0,5,0.508,1,145.65
Apple,Silty Loam,108,104,17.31,54.22,0.38,0.23,14.63,2.69,36.12,14.56,27.57,4.195,1.2,55.6,1.008,217.32,1,0.532,1,155.01
Grape,Loam,194,226,31.55,47.65,0.01,0.01,24.99,3.73,29.9,14.12,25.25,9.196,0.757,81.87,0.89,140.44,10,0.503,1,505.5
Tomato,Sandy Loam,126,34,10.98,73.67,3.65,2.82,9.81,4.49,23.21,10.43,12.63,2.284,0.926,79.11,0.514,65.69,7,0.377,1,481.19
Tomato,Clay Loam,58,256,28.37,70.84,0.77,0.41,21.23,0.87,36.03,22.45,26.69,5.341,0.985,84.49,1.369,185.91,10,0.425,1,1513.37
Grape,Loam,163,330,16.43,58.39,0.7,0.53,7.32,1.59,31.57,13.9,25.54,2.315,0.85,67.56,0.582,102.84,3,0.46,0,0.0
Apple,Silty Loam,113,230,28.11,39.56,0.02,0.01,20.33,3.5,35.44,13.99,30.0,8.128,1.2,86.1,1.547,331.83,9,0.579,1,879.69
Potato,Sandy Loam,49,165,24.19,48.35,0.32,0.25,23.66,2.05,21.19,10.08,11.08,6.678,1.02,80.34,0.472,52.44,11,0.366,1,653.36
Apple,Loam,188,33,5.52,51.17,5.14,3.54,8.4,2.19,30.5,14.23,25.86,2.039,0.93,64.39,1.69,274.96,9,0.589,0,0.0
Grape,Loam,109,341,10.23,70.1,1.97,1.02,13.62,3.7,32.23,13.7,22.06,2.724,0.85,55.03,0.968,179.37,1,0.522,1,178.89
Apple,Clay Loam,1,231,30.75,49.75,0.15,0.1,21.73,1.24,37.35,21.79,34.74,6.433,0.45,59.4,1.408,219.08,8,0.56,0,0.0
Grape,Sandy Loam,62,55,16.87,59.71,0.9,0.49,12.53,3.86,22.34,10.98,16.88,3.918,0.85,69.12,0.903,102.58,5,0.477,1,356.65
Potato,Sandy Loam,53,222,28.3,64.03,0.0,0.0,19.06,1.55,23.49,10.3,13.54,5.332,1.107,75.48,0.413,54.47,12,0.374,1,653.31
Potato,Loam,94,176,30.64,38.23,0.79,0.5,21.62,4.27,29.74,13.85,23.31,9.561,1.15,68.31,0.558,88.67,9,0.375,1,472.72
Apple,Silty Loam,44,154,22.09,48.26,0.78,0.56,23.89,4.12,35.08,13.64,24.31,7.28,0.66,67.68,1.909,409.29,12,0.533,1,3645.38
Potato,Loam,75,5,4.18,92.39,15.97,11.01,5.71,2.89,31.41,14.74,28.96,0.71,1.15,84.17,0.472,78.68,13,0.377,0,0.0
Grape,Sandy,19,63,22.74,49.51,1.2,0.75,19.45,1.57,17.97,8.31,9.31,5.354,0.3,59.98,0.697,67.33,2,0.515,1,201.27
Potato,Sandy Loam,100,182,23.51,38.51,0.04,0.03,20.03,3.05,24.96,9.42,19.75,7.0,1.15,88.66,0.594,92.31,11,0.395,1,383.96
Apple,Loam,76,245,28.54,56.5,1.2,0.85,16.43,2.23,30.49,13.63,23.48,5.495,1.14,89.63,1.296,218.51,12,0.587,1,1216.33
Potato,Sandy Loam,79,203,28.47,54.4,0.05,0.03,20.19,2.67,24.09,10.56,18.07,6.633,1.15,73.61,0.49,66.3,3,0.36,1,120.22
Apple,Clay Loam,90,188,31.33,39.52,0.02,0.01,27.44,0.6,37.25,21.73,25.35,7.446,1.2,76.0,1.322,205.17,7,0.527,1,1448.98
Grape,Sandy Loam,160,253,29.01,48.34,0.76,0.38,22.3,4.46,21.12,9.27,18.81,8.572,0.85,68.04,0.621,73.59,11,0.531,1,231.92
Tomato,Clay Loam,34,263,29.1,68.44,1.01,0.63,19.73,0.53,35.11,21.0,27.0,4.958,0.655,71.24,0.844,119.09,9,0.372,1,864.73
Tomato,Clay Loam,25,103,17.79,67.57,1.5,1.14,20.18,2.59,34.33,22.98,26.9,4.528,0.6,81.81,1.345,152.66,6,0.363,1,732.92
Potato,Loam,27,327,16.69,91.28,1.75,1.15,5.57,3.9,31.08,14.12,23.8,1.189,0.543,74.04,0.468,79.37,3,0.385,1,138.05
Potato,Loam,6,162,21.84,56.47,0.7,0.54,19.19,0.83,30.39,13.79,21.71,4.621,0.5,59.3,0.479,79.51,3,0.389,1,210.34
Grape,Sandy Loam,30,326,19.26,74.65,0.96,0.59,12.63,1.95,24.89,10.87,18.73,3.036,0.438,75.41,0.813,113.98,5,0.47,0,0.0
Potato,Loam,90,167,27.09,58.12,0.02,0.01,26.55,1.03,32.52,14.3,28.39,6.771,1.15,84.92,0.569,103.67,1,0.365,1,27.67
Tomato,Sandy Loam,119,145,18.52,69.81,1.21,0.95,23.03,2.35,21.4,10.57,11.77,4.966,1.024,56.52,1.495,161.91,9,0.375,1,2292.49
Potato,Silt Loam,106,278,19.88,74.35,1.19,0.76,13.07,4.07,34.14,13.31,24.97,3.522,1.07,89.9,0.486,101.23,11,0.379,1,545.3
Tomato,Sandy Loam,22,201,28.11,68.54,0.09,0.05,21.83,2.15,22.24,10.52,16.08,5.939,0.6,78.41,1.36,159.39,10,0.407,1,1068.44
Potato,Silt Loam,12,107,13.26,85.16,0.08,0.05,17.59,2.68,33.14,12.75,32.64,2.92,0.5,77.52,0.415,84.62,6,0.38,0,0.0
Apple,Silty Loam,91,169,22.73,51.81,0.62,0.38,23.83,3.89,36.1,14.7,33.62,7.079,1.2,89.2,1.891,404.67,13,0.515,1,683.47
Tomato,Loam,80,93,21.94,84.35,1.46,1.04,20.79,2.11,32.63,13.84,26.65,4.374,1.15,59.4,1.147,215.52,11,0.394,1,1270.2
Apple,Loam,150,328,12.04,65.08,0.16,0.09,13.45,4.05,32.98,14.13,29.36,3.175,1.2,84.37,1.964,370.21,11,0.593,1,926.95
Tomato,Sandy Loam,93,92,16.38,73.88,0.23,0.13,18.81,1.83,23.17,9.26,12.29,3.831,1.15,58.44,1.189,165.39,9,0.44,1,1992.25
Tomato,Loam,69,22,7.87,70.84,4.45,2.47,9.31,3.51,32.19,14.73,26.68,1.986,1.136,63.83,0.737,128.68,7,0.446,0,0.0
Apple,Silty Loam,71,203,34.44,24.82,0.11,0.07,26.07,4.37,35.38,13.44,33.28,12.656,1.065,64.63,1.751,384.17,11,0.586,1,625.84
Apple,Loam,172,238,28.43,45.42,0.0,0.0,21.88,1.22,31.23,13.71,26.36,6.349,1.17,70.8,1.012,177.3,10,0.524,1,696.11
Tomato,Loam,103,300,23.7,58.22,0.01,0.0,13.79,1.7,30.25,14.57,26.34,4.117,1.15,82.66,0.547,85.77,2,0.443,1,51.75
Apple,Loam,160,129,23.82,67.78,0.42,0.23,19.98,2.19,30.73,14.17,25.58,5.14,1.2,60.79,1.508,249.72,2,0.504,1,255.51
Tomato,Loam,120,246,24.54,62.98,0.19,0.13,14.72,2.27,31.09,14.78,20.13,4.457,1.01,69.91,0.593,96.72,11,0.444,1,1022.63
Grape,Loam,102,306,11.25,56.31,0.2,0.14,12.35,3.7,29.32,13.16,17.87,3.289,0.85,59.43,0.808,130.57,13,0.544,1,2023.74
Tomato,Clay Loam,11,15,9.86,90.51,0.45,0.31,5.34,1.49,36.74,21.55,36.24,0.889,0.6,63.48,1.354,205.67,9,0.371,0,0.0
Tomato,Loam,127,48,14.09,64.15,0.12,0.07,8.78,0.69,32.19,14.9,26.18,1.907,0.912,82.33,0.675,116.71,8,0.449,0,0.0
Tomato,Loam,86,316,12.63,76.88,2.24,1.56,10.45,1.78,32.66,14.0,25.21,2.108,1.15,84.53,0.688,128.38,10,0.387,1,606.36
Grape,Sandy Loam,73,71,20.18,57.85,0.88,0.58,17.3,4.23,23.82,10.82,14.26,5.299,0.85,86.01,0.582,75.66,5,0.541,1,323.45
Potato,Loam,3,174,21.25,56.04,0.57,0.44,21.51,3.69,32.19,13.93,25.46,6.094,0.5,79.4,0.543,99.15,5,0.363,1,230.13
Apple,Clay Loam,197,219,23.8,51.77,0.21,0.15,23.69,1.38,34.1,21.27,29.94,6.141,0.795,81.43,1.729,221.83,5,0.559,1,441.65
Grape,Sandy,75,18,16.37,64.83,1.81,1.24,10.7,3.44,16.5,7.28,11.19,3.225,0.85,68.29,0.513,47.3,6,0.478,1,239.33
Grape,Sandy Loam,109,23,9.64,79.33,0.86,0.53,6.99,0.65,23.15,10.84,11.84,1.232,0.85,87.51,0.682,83.95,3,0.492,1,264.43
Grape,Sandy,219,312,21.43,74.85,0.72,0.48,12.08,1.18,17.26,7.54,8.54,2.903,0.59,62.47,0.863,83.88,7,0.493,1,843.25
Grape,Sandy,126,334,14.54,76.12,0.52,0.34,6.97,3.17,18.54,7.02,10.26,1.958,0.85,70.86,0.897,103.33,8,0.494,1,838.52
Apple,Clay Loam,148,153,28.41,40.96,0.03,0.02,24.51,2.4,37.52,22.4,29.39,8.066,1.2,82.58,1.363,206.09,1,0.57,1,134.19
Apple,Clay Loam,8,265,20.57,55.7,0.04,0.03,15.18,3.22,36.5,22.7,33.52,4.834,0.45,80.11,1.506,207.83,13,0.56,0,0.0
Apple,Clay Loam,11,271,14.42,69.75,0.27,0.17,14.83,2.98,37.1,21.42,29.89,3.281,0.45,55.88,1.61,252.45,5,0.525,0,0.0
Apple,Clay Loam,37,172,22.56,54.95,0.1,0.07,19.31,3.14,35.39,22.23,34.88,5.821,0.555,58.65,1.408,185.29,7,0.552,0,0.0
Grape,Loam,35,162,37.16,37.94,0.04,0.03,23.35,1.94,32.52,14.52,27.46,8.683,0.506,82.27,0.631,113.58,9,0.489,1,349.29
Apple,Loam,157,152,22.05,60.52,1.04,0.74,25.38,2.44,30.98,13.25,26.19,6.296,1.2,57.53,1.729,306.55,1,0.538,1,143.96
Tomato,Clay Loam,112,105,19.85,69.83,1.89,1.16,17.52,1.1,36.33,21.0,27.32,3.943,1.122,55.05,0.776,118.96,3,0.365,1,381.02
Grape,Sandy Loam,123,235,35.21,31.97,0.02,0.01,30.0,0.62,24.54,10.31,17.94,8.571,0.85,63.24,0.882,125.51,12,0.528,1,1104.59
Tomato,Loam,124,118,15.65,71.31,0.35,0.17,16.0,3.66,29.09,14.89,18.8,3.585,0.954,81.03,1.5,213.0,3,0.44,1,571.46
Grape,Sandy Loam,86,5,9.34,63.87,0.43,0.29,12.14,3.64,24.34,9.78,21.79,2.71,0.85,59.53,0.977,142.25,7,0.505,0,0.0
Tomato,Loam,69,14,12.76,83.45,1.03,0.77,7.42,2.43,30.61,13.9,30.11,1.538,1.136,85.83,1.483,247.81,13,0.407,0,0.0
Apple,Clay Loam,20,161,26.56,39.37,0.1,0.07,24.98,2.31,34.22,21.75,27.94,7.879,0.45,75.75,1.218,151.88,13,0.558,0,0.0
Apple,Silty Loam,31,188,27.55,37.14,0.05,0.03,27.32,0.68,33.44,14.49,25.74,7.17,0.465,87.73,1.954,370.28,13,0.577,0,0.0
Grape,Sandy Loam,237,193,35.59,41.99,0.0,0.0,22.98,1.22,23.3,10.95,22.8,7.393,0.47,65.99,0.515,63.6,10,0.517,0,0.0
Tomato,Loam,3,104,16.36,67.73,0.33,0.19,19.03,4.48,30.92,13.99,22.95,4.358,0.6,76.63,1.356,229.57,11,0.396,1,1551.36
Tomato,Clay Loam,130,202,29.38,56.05,0.16,0.11,21.81,2.68,36.77,22.84,28.05,6.988,0.87,75.97,0.725,100.99,1,0.4,1,83.22
Apple,Clay Loam,68,264,24.26,53.05,0.17,0.1,16.63,1.22,36.87,22.24,32.88,4.616,1.02,69.75,1.33,194.58,10,0.549,1,760.82
Grape,Loam,194,140,22.32,47.22,0.55,0.34,21.99,3.6,29.77,13.59,26.0,6.886,0.757,88.62,0.604,97.73,13,0.476,1,334.03
Potato,Sandy Loam,67,7,14.39,85.56,0.83,0.5,8.3,1.38,21.32,9.71,10.71,1.617,1.15,79.36,0.552,64.09,12,0.398,1,885.59
Potato,Silt Loam,30,304,13.73,76.74,3.55,1.96,14.67,2.15,31.32,13.91,24.97,2.854,0.608,56.4,0.545,94.88,6,0.392,0,0.0
Tomato,Clay Loam,135,224,28.9,56.96,0.33,0.26,23.67,1.96,34.57,21.82,30.94,6.879,0.8,66.32,1.246,158.87,12,0.374,1,818.39
Apple,Clay Loam,77,160,28.99,43.62,0.04,0.03,21.99,1.0,36.66,21.85,23.44,6.277,1.155,85.31,1.761,260.8,9,0.517,1,2456.03
Grape,Loam,113,129,23.02,52.99,0.31,0.2,22.46,4.34,29.32,14.74,26.98,6.979,0.85,68.67,0.608,88.65,2,0.453,1,41.44
Grape,Loam,102,219,36.02,22.91,0.09,0.05,19.98,1.31,31.63,13.67,28.38,7.486,0.85,87.74,0.994,178.52,9,0.468,1,331.37
Tomato,Loam,52,118,15.81,78.25,1.26,0.7,21.2,3.15,32.32,14.02,22.95,3.972,0.902,85.57,0.862,157.75,12,0.391,1,1132.68
Tomato,Loam,117,142,24.07,71.67,0.21,0.14,20.21,1.17,32.82,13.63,25.53,4.823,1.052,60.34,0.502,96.33,2,0.423,1,121.3
Grape,Sandy,1,272,25.75,56.01,5.74,4.31,15.16,2.8,18.64,7.95,9.71,5.286,0.3,83.51,0.991,105.94,6,0.485,1,635.83
Apple,Clay Loam,110,261,23.99,48.64,2.24,1.32,13.03,2.55,37.88,21.51,28.55,4.931,1.2,67.24,1.305,213.63,7,0.597,1,1267.54
Apple,Loam,199,317,9.9,70.6,1.0,0.66,6.85,4.4,29.88,13.78,29.38,2.01,0.765,75.39,1.828,294.31,9,0.532,0,0.0
Tomato,Clay Loam,7,303,13.78,80.86,1.13,0.8,14.15,3.64,35.88,21.36,33.22,2.665,0.6,75.31,0.747,108.46,4,0.371,0,0.0
Apple,Loam,98,339,7.35,87.01,0.03,0.02,7.44,2.02,32.84,14.69,23.06,1.16,1.2,77.71,1.104,200.38,1,0.554,0,0.0
Grape,Sandy,206,350,13.2,75.77,0.63,0.34,6.64,2.94,18.53,7.95,12.15,1.804,0.677,77.97,0.932,98.61,9,0.511,1,686.36
Tomato,Sandy Loam,38,43,4.69,77.64,1.59,0.94,10.3,4.41,22.57,9.4,16.14,1.621,0.71,67.43,1.18,155.41,1,0.376,1,112.52
Grape,Sandy Loam,82,324,18.52,69.17,4.94,3.76,12.16,2.71,24.17,9.29,17.85,3.278,0.85,58.79,0.961,143.0,1,0.548,0,0.0
Apple,Silty Loam,191,205,24.9,44.72,0.15,0.08,21.01,1.01,35.64,14.91,29.87,5.646,0.885,55.0,1.564,324.22,13,0.577,1,2133.01
Apple,Loam,181,360,7.29,69.92,2.09,1.07,8.35,2.81,32.87,14.55,21.44,1.79,1.035,61.63,1.268,232.3,7,0.522,1,1646.16
Tomato,Clay Loam,81,161,24.39,69.42,0.32,0.2,25.9,2.99,34.26,21.7,26.84,6.384,1.15,66.65,0.676,84.91,4,0.38,1,301.03
Grape,Sandy Loam,7,275,27.87,46.6,0.67,0.35,17.82,2.36,24.21,9.62,22.85,6.304,0.3,70.7,0.548,79.95,6,0.485,0,0.0
Tomato,Loam,8,91,18.4,75.1,3.38,2.32,22.96,3.69,29.5,14.4,27.02,4.732,0.6,63.16,0.78,117.78,9,0.437,0,0.0
Apple,Loam,89,101,19.31,61.0,0.01,0.01,15.0,1.57,32.06,13.43,19.42,3.802,1.2,75.22,1.85,344.66,6,0.599,1,1865.25
Grape,Sandy,186,350,10.24,69.35,0.57,0.4,14.04,3.09,19.17,8.44,9.44,2.755,0.81,68.83,0.631,67.71,6,0.517,1,535.2
Potato,Sandy Loam,79,154,31.23,37.88,0.7,0.36,23.46,2.78,23.48,9.68,17.81,8.802,1.15,88.19,0.464,64.03,8,0.377,1,238.66
Potato,Sandy Loam,68,215,32.42,58.5,0.09,0.05,21.06,3.98,24.72,9.23,20.8,7.78,1.15,79.95,0.431,66.76,3,0.395,1,63.4
Tomato,Sandy Loam,118,338,15.43,67.03,4.55,2.31,7.87,1.52,22.04,10.33,21.54,2.082,1.038,70.47,1.349,157.97,13,0.351,0,0.0
Tomato,Loam,44,61,14.99,80.79,1.18,0.91,13.1,1.05,30.83,14.32,19.71,2.536,0.792,67.35,1.388,229.16,1,0.372,1,229.17
Potato,Sandy Loam,126,39,7.75,81.69,0.72,0.4,7.13,4.02,23.01,10.82,19.14,1.379,0.803,70.39,0.479,58.39,13,0.382,0,0.0
Tomato,Sandy Loam,92,358,15.67,80.18,4.1,2.21,3.87,3.88,22.67,10.74,22.17,1.514,1.15,79.01,1.382,164.87,11,0.366,0,0.0
Grape,Loam,55,209,33.26,55.36,0.0,0.0,20.51,2.91,32.46,13.84,22.98,7.408,0.781,66.56,0.788,146.73,9,0.516,1,1010.1
Potato,Loam,82,298,18.94,72.7,0.95,0.74,13.37,0.97,30.4,13.08,23.28,2.99,1.15,76.07,0.536,92.84,6,0.385,1,301.01
Grape,Sandy,14,94,19.07,63.02,0.19,0.1,21.25,0.91,16.89,7.29,8.29,4.677,0.3,75.86,0.71,68.16,7,0.528,1,563.43
Grape,Sandy Loam,43,138,28.41,47.59,0.23,0.12,24.9,2.92,24.65,10.74,21.15,8.121,0.616,87.04,0.793,110.31,7,0.455,1,223.21
